repository_name,date,views,unique
LCModel,2022-01-27,1,1
LCModel,2022-01-28,8,1
LCModel,2022-01-31,8,2
LCModel,2022-02-02,4,1
LCModel,2022-02-03,1,1
LCModel,2022-02-06,1,1
LCModel,2022-02-07,8,2
LCModel,2022-02-11,1,1
LCModel,2022-02-12,1,1
LCModel,2022-02-16,2,1
LCModel,2022-02-17,1,1
LCModel,2022-02-18,1,1
LCModel,2022-02-19,3,1
LCModel,2022-02-23,1,1
LCModel,2022-02-25,8,1
LCModel,2022-03-01,1,1
LCModel,2022-03-02,1,1
LCModel,2022-03-09,1,1
LCModel,2022-03-11,11,2
LCModel,2022-03-14,1,1
LCModel,2022-03-28,1,1
LCModel,2022-03-31,13,1
LCModel,2022-04-01,3,1
LCModel,2022-04-09,1,1
LCModel,2022-04-10,1,1
LCModel,2022-04-11,5,4
LCModel,2022-04-12,17,3
LCModel,2022-04-13,1,1
LCModel,2022-04-14,2,1
LCModel,2022-04-15,1,1
LCModel,2022-04-16,1,1
LCModel,2022-04-18,11,4
LCModel,2022-04-19,9,1
LCModel,2022-04-21,2,1
LCModel,2022-05-05,6,3
LCModel,2022-05-07,1,1
LCModel,2022-05-10,1,1
LCModel,2022-05-12,2,1
LCModel,2022-05-13,1,1
LCModel,2022-05-21,32,1
LCModel,2022-05-25,4,1
LCModel,2022-05-27,1,1
LCModel,2022-05-31,7,2
LCModel,2022-06-01,6,1
LCModel,2022-06-09,13,4
LCModel,2022-06-13,3,1
LCModel,2022-06-14,1,1
LCModel,2022-06-15,1,1
LCModel,2022-06-20,11,1
LCModel,2022-06-21,5,2
LCModel,2022-06-22,1,1
LCModel,2022-06-28,3,1
LCModel,2022-07-03,7,1
LCModel,2022-07-04,3,2
LCModel,2022-07-05,1,1
LCModel,2022-07-06,1,1
LCModel,2022-07-07,2,1
LCModel,2022-07-08,1,1
LCModel,2022-07-09,16,3
LCModel,2022-07-11,1,1
LCModel,2022-07-13,4,1
LCModel,2022-07-14,11,2
LCModel,2022-07-15,1,1
LCModel,2022-07-16,3,3
LCModel,2022-07-18,4,2
LCModel,2022-07-19,21,1
LCModel,2022-07-20,14,2
LCModel,2022-07-21,20,4
LCModel,2022-07-22,32,2
LCModel,2022-07-23,9,1
LCModel,2022-07-26,7,1
LCModel,2022-07-27,4,1
LCModel,2022-07-28,8,1
LCModel,2022-07-31,4,2
LCModel,2022-08-01,1,1
LCModel,2022-08-02,10,3
LCModel,2022-08-06,1,1
LCModel,2022-08-08,2,2
LCModel,2022-08-09,3,3
LCModel,2022-08-12,16,2
LCModel,2022-08-13,4,1
LCModel,2022-08-15,7,1
LCModel,2022-08-16,1,1
LCModel,2022-08-17,6,1
LCModel,2022-08-18,4,2
LCModel,2022-08-22,2,2
LCModel,2022-08-23,1,1
LCModel,2022-08-25,4,3
LCModel,2022-08-28,9,2
LCModel,2022-08-29,20,4
LCModel,2022-08-30,6,2
LCModel,2022-08-31,4,1
LCModel,2022-09-01,1,1
LCModel,2022-09-02,1,1
LCModel,2022-09-05,4,3
LCModel,2022-09-06,9,2
LCModel,2022-09-07,1,1
LCModel,2022-09-08,2,2
LCModel,2022-09-10,8,2
LCModel,2022-09-13,1,1
LCModel,2022-09-16,1,1
LCModel,2022-09-19,2,1
LCModel,2022-09-20,2,2
LCModel,2022-09-21,1,1
LCModel,2022-09-22,2,2
LCModel,2022-09-25,3,1
LCModel,2022-09-26,8,1
LCModel,2022-09-27,12,3
LCModel,2022-09-28,2,1
LCModel,2022-09-29,1,1
LCModel,2022-09-30,3,2
LCModel,2022-10-02,1,1
LCModel,2022-10-03,1,1
LCModel,2022-10-04,1,1
LCModel,2022-10-05,1,1
LCModel,2022-10-07,1,1
LCModel,2022-10-09,8,5
LCModel,2022-10-11,3,2
LCModel,2022-10-12,2,1
LCModel,2022-10-13,4,3
LCModel,2022-10-14,10,4
LCModel,2022-10-15,1,1
LCModel,2022-10-16,4,2
LCModel,2022-10-17,1,1
LCModel,2022-10-18,12,5
LCModel,2022-10-19,10,2
LCModel,2022-10-20,6,2
LCModel,2022-10-21,28,3
LCModel,2022-10-24,1,1
LCModel,2022-10-26,9,2
LCModel,2022-10-27,6,2
LCModel,2022-10-29,1,1
LCModel,2022-10-31,2,2
LCModel,2022-11-03,2,2
LCModel,2022-11-04,13,5
LCModel,2022-11-05,1,1
LCModel,2022-11-07,2,2
LCModel,2022-11-08,7,3
LCModel,2022-11-09,5,2
LCModel,2022-11-10,6,4
LCModel,2022-11-11,5,4
LCModel,2022-11-12,7,1
LCModel,2022-11-13,1,1
LCModel,2022-11-15,4,4
LCModel,2022-11-17,2,2
LCModel,2022-11-18,1,1
